name,sex,age,height,weight,country,sport
Kokoutse Fabrice Dabla,M,23.0,,,Togo,Athletics
Pablo Alejandro Aprahamian Bakerdjian,M,30.0,180.0,97.0,Uruguay,Judo
"Jonathan Michael ""Jon"" Schofield",M,31.0,182.0,80.0,UK,Canoeing
DeMar Darnell DeRozan,M,26.0,201.0,99.0,USA,Basketball
Kacper Ziemiski,M,25.0,183.0,82.0,Poland,Sailing
"Donald ""Donn"" Cabral",M,26.0,178.0,68.0,USA,Athletics
Hanna Serhivna Krasnoshlyk,F,20.0,171.0,59.0,Ukraine,Diving
Suthasini Sawettabut,F,21.0,168.0,63.0,Thailand,Table Tennis
Ana Dulce Ferreira Flix,F,33.0,166.0,53.0,Portugal,Athletics
Qieyang Shenjie,F,25.0,160.0,45.0,China,Athletics
Andro Bulje,M,30.0,200.0,115.0,Croatia,Water Polo
Carlos Eduardo Quipo Pilataxi,M,26.0,156.0,49.0,Ecuador,Boxing
Tamires Morena Lima de Arajo,F,22.0,180.0,77.0,Brazil,Handball
Daria Pikulik,F,19.0,165.0,54.0,Poland,Cycling
Brent Bookwalter,M,32.0,181.0,68.0,USA,Cycling
Fadwa Sidi Madane,F,21.0,175.0,76.0,Morocco,Athletics
Cecilia Carranza Saroli,F,29.0,164.0,63.0,Argentina,Sailing
Damian Patrick Martin,M,31.0,186.0,90.0,Australia,Basketball
Jovana Stevanovi,F,24.0,192.0,72.0,Serbia,Volleyball
Danish Mujtaba,M,27.0,168.0,66.0,India,Hockey
Li Yajun,F,23.0,151.0,53.0,China,Weightlifting
Camalddin Maqomedov,M,27.0,186.0,125.0,Azerbaijan,Wrestling
"Kosovare ""Kosse"" Asllani",F,27.0,166.0,56.0,Sweden,Football
Damir Buri,M,35.0,205.0,115.0,Croatia,Water Polo
Soner Demirta,M,25.0,170.0,74.0,Turkey,Wrestling
"Penelope Jane ""Penny"" Taylor (-Gil-)",F,35.0,185.0,72.0,Australia,Basketball
Gabriel Sncrian,M,27.0,174.0,88.0,Romania,Weightlifting
Oussama Al-Boughanmi,M,26.0,185.0,87.0,Tunisia,Handball
Jean-Michel Lucenay,M,38.0,186.0,78.0,France,Fencing
Marisol Guadalupe Romero Rosales,F,33.0,155.0,46.0,Mexico,Athletics
sds Hjlmsdttir,F,30.0,178.0,70.0,Iceland,Athletics
Alicia Quirk,F,24.0,173.0,64.0,Australia,Rugby Sevens
Kei Takase,M,27.0,180.0,67.0,Japan,Athletics
Salome Nyirarukundo,F,18.0,,,Rwanda,Athletics
Jiao Yunlong,M,28.0,190.0,87.0,China,Fencing
Marco Orsi,M,25.0,189.0,89.0,Italy,Swimming
Natalia Pacierpnik,F,27.0,169.0,58.0,Poland,Canoeing
Andriy Ivanovych Khrypta,M,29.0,,,Ukraine,Cycling
Konstantin Sergeyevich Semyonov,M,27.0,210.0,101.0,Russia,Beach Volleyball
Rosa Andrena Rodrguez Pargas,F,30.0,178.0,88.0,Venezuela,Athletics
Mao Feilian,M,23.0,185.0,74.0,China,Swimming
Olga Sergeyevna Levina-Akopyan,F,31.0,176.0,63.0,Russia,Handball
Maria Elisabetta Marconi,F,31.0,159.0,55.0,Italy,Diving
Luza vila Borges Carvalho,F,33.0,182.0,79.0,Brazil,Water Polo
Igor Mareni,M,30.0,173.0,70.0,Croatia,Sailing
Henry Weir,M,26.0,176.0,75.0,UK,Hockey
Johan Mikael Jakobsson,M,29.0,195.0,98.0,Sweden,Handball
Xu Chao,M,21.0,185.0,82.0,China,Cycling
Shang Chunsong,F,20.0,143.0,34.0,China,Gymnastics
Mohamed Amer,M,18.0,199.0,80.0,Egypt,Fencing
Aleksandr Nikolayevich Bersanov,M,23.0,176.0,94.0,Belarus,Weightlifting
George Bennett,M,26.0,181.0,58.0,New Zealand,Cycling
Lebo Mothiba,M,20.0,181.0,69.0,South Africa,Football
Bodi Turner,M,21.0,180.0,81.0,Australia,Cycling
"Bruno ""Bruninho"" Mossa de Rezende",M,30.0,190.0,76.0,Brazil,Volleyball
Andrea Ivanevi,F,21.0,168.0,62.0,Croatia,Athletics
Panipak Wongpattanakit,F,18.0,173.0,49.0,Thailand,Taekwondo
Antony John Fowler,M,25.0,179.0,75.0,UK,Boxing
Lawrence Fanous,M,30.0,170.0,61.0,Jordan,Triathlon
Bralon Shazam Taplin,M,24.0,180.0,75.0,Grenada,Athletics
"Robert ""Robbie"" Manson",M,26.0,188.0,89.0,New Zealand,Rowing
Lee Seul-Chan,M,22.0,172.0,65.0,South Korea,Football
Marten Van Riel,M,23.0,183.0,64.0,Belgium,Triathlon
Aisha Praught (-Leer),F,26.0,162.0,50.0,Jamaica,Athletics
Birgit Koschischek,F,29.0,169.0,60.0,Austria,Swimming
Marco Fichera,M,22.0,180.0,74.0,Italy,Fencing
Zhu Menghui,F,17.0,177.0,62.0,China,Swimming
Miguel David Ruz Gonzlez,M,25.0,202.0,104.0,Venezuela,Basketball
Shah Hussain Shah,M,23.0,190.0,100.0,Pakistan,Judo
Chov Sotheara,F,32.0,155.0,48.0,Cambodia,Wrestling
Timur Khaydarov,M,20.0,185.0,86.0,Kazakhstan,Canoeing
Viktoriya Viktorovna Zyabkina,F,23.0,174.0,62.0,Kazakhstan,Athletics
Diaaeldin Kamal Gouda Abdelmottaleb,M,23.0,177.0,125.0,Egypt,Wrestling
Roy Meyer,M,25.0,186.0,122.0,Netherlands,Judo
Lucas Kozeniesky,M,21.0,180.0,80.0,USA,Shooting
Cline Sandrine Francine Goberville,F,29.0,156.0,53.0,France,Shooting
Vera Lcia Mendes Barbosa,F,27.0,168.0,58.0,Portugal,Athletics
James Thompson,M,29.0,182.0,70.0,South Africa,Rowing
"Gregory James ""Greg"" Rutherford",M,29.0,188.0,92.0,UK,Athletics
Sbastien Dockier,M,26.0,175.0,74.0,Belgium,Hockey
Jason Osborne,M,22.0,178.0,72.0,Germany,Rowing
Phillip Kipyeko,M,21.0,,,Uganda,Athletics
Blake Blackburn,M,24.0,181.0,82.0,Australia,Shooting
Iryna Ihorivna Herashchenko,F,21.0,181.0,61.0,Ukraine,Athletics
Eduard Popp,M,25.0,190.0,128.0,Germany,Wrestling
Sebastien Daniel Rousseau,M,25.0,190.0,86.0,South Africa,Swimming
Ralf Buchheim,M,32.0,183.0,72.0,Germany,Shooting
Pol Pla Vegu,M,23.0,177.0,75.0,Spain,Rugby Sevens
Vilma Pegado Nenganga,F,19.0,170.0,59.0,Angola,Handball
Jana Velkov,F,35.0,178.0,60.0,Slovakia,Athletics
Masaki Ito,M,27.0,167.0,62.0,Japan,Trampolining
Juliana Jos Machado,F,21.0,175.0,60.0,Angola,Handball
Fanny Lecluyse,F,24.0,177.0,64.0,Belgium,Swimming
"Jonathan ""Jono"" Clegg",M,27.0,186.0,72.0,UK,Rowing
Benjamin Steffen,M,34.0,189.0,78.0,Switzerland,Fencing
Ge Manqi,F,18.0,162.0,52.0,China,Athletics
Samantha May Kerr,F,22.0,167.0,63.0,Australia,Football
"Andrew Thomas ""Andy"" Bisek",M,29.0,178.0,82.0,USA,Wrestling
Mateusz Mika,M,25.0,207.0,85.0,Poland,Volleyball
Cristina-Andreea Mitu,F,24.0,175.0,60.0,Romania,Tennis
"Nicholas ""Nick"" Miller",M,23.0,188.0,112.0,UK,Athletics
Mojtaba Mirzajanpour Muvizirjy,M,24.0,205.0,88.0,Iran,Volleyball
Kyle Frederick Snyder,M,20.0,180.0,102.0,USA,Wrestling
Dimitrije Grgi,M,32.0,191.0,82.0,Serbia,Shooting
Alexandre Camargo,M,17.0,177.0,75.0,Brazil,Fencing
Michelle Plourde Kasold,F,29.0,161.0,53.0,USA,Hockey
Irina Valeryevna Bliznova,F,29.0,182.0,68.0,Russia,Handball
Albert Aleksandrovich Gaun,M,24.0,183.0,80.0,Russia,Taekwondo
Inna Vasilyevna Deriglazova,F,26.0,173.0,61.0,Russia,Fencing
Sonia Franquet Calvente,F,36.0,173.0,60.0,Spain,Shooting
David Carver,M,28.0,183.0,68.0,Mauritius,Athletics
Michael Fuchs,M,34.0,181.0,86.0,Germany,Badminton
Izmir Smajlaj,M,23.0,195.0,86.0,Albania,Athletics
Henriette Nadege Koulla,F,23.0,169.0,67.0,Cameroon,Volleyball
Benot Paire,M,27.0,196.0,80.0,France,Tennis
Oribe Peralta Morones,M,32.0,179.0,73.0,Mexico,Football
Kariman Abuljadayel,F,22.0,180.0,70.0,Saudi Arabia,Athletics
Zahra Nemati,F,31.0,176.0,60.0,Iran,Archery
Dolores Hernndez Monzon,F,19.0,162.0,62.0,Mexico,Diving
Dzsenifer Marozsn,F,24.0,171.0,68.0,Germany,Football
Wesley Tikiariki Roberts,M,19.0,188.0,74.0,Cook Islands,Swimming
Vitaly Khudyakov,M,21.0,186.0,83.0,Kazakhstan,Swimming
Joshua Richmond,M,30.0,188.0,91.0,USA,Shooting
Tsholofelo Thipe (Selemela-),F,29.0,153.0,55.0,South Africa,Athletics
Maxwell Lattimer,M,23.0,185.0,72.0,Canada,Rowing
Kirsten Sweetland,F,27.0,163.0,49.0,Canada,Triathlon
Svetlana Mikhaylovna Radzivil,F,29.0,186.0,61.0,Uzbekistan,Athletics
Yuliya Valentinovna Bichik,F,33.0,184.0,84.0,Belarus,Rowing
Fazliddin Khasanbayevich Gaybnazarov,M,25.0,169.0,64.0,Uzbekistan,Boxing
Jason Pryor,M,28.0,175.0,80.0,USA,Fencing
Sarah Frederica Sjstrm,F,22.0,182.0,76.0,Sweden,Swimming
Jess Ricardo Liranzo Gratero,M,20.0,174.0,60.0,Venezuela,Diving
Thadius Katua,M,18.0,167.0,60.0,Papua New Guinea,Boxing
"Alexander ""Alex"" Hill",M,23.0,194.0,92.0,Australia,Rowing
Mohsen Hussain Al-Duhaylib,M,22.0,163.0,69.0,Saudi Arabia,Weightlifting
Kelly Griffin,F,29.0,163.0,68.0,USA,Rugby Sevens
Rodrigo Gonzlez Lpez,M,26.0,180.0,69.0,Mexico,Triathlon
Charline Picon,F,31.0,169.0,57.0,France,Sailing
Gwen Rosemary Jorgensen (-Lemieux),F,30.0,178.0,59.0,USA,Triathlon
"Gregory ""Greg"" Billington",M,27.0,175.0,66.0,USA,Triathlon
Colin Stephen Oates,M,33.0,181.0,66.0,UK,Judo
Tsubasa Sasaki,M,21.0,170.0,60.0,Japan,Canoeing
Shinya Yajima,M,22.0,171.0,67.0,Japan,Football
Elena Wassen,F,15.0,174.0,63.0,Germany,Diving
Ricardo Ramos Vargas,M,30.0,172.0,56.0,Mexico,Athletics
Axel Louis Augis,M,25.0,172.0,71.0,France,Gymnastics
Anna Skidan,F,24.0,183.0,101.0,Azerbaijan,Athletics
Miguel Ortiz-Caavate Ozeki,M,25.0,189.0,89.0,Spain,Swimming
Aauri Lorena Bokesa Abia,F,27.0,180.0,62.0,Spain,Athletics
Esmee Vermeulen,F,20.0,180.0,64.0,Netherlands,Swimming
Martine Soffiatti Grael,F,25.0,168.0,62.0,Brazil,Sailing
Anastasiya Serhivna Lysenko,F,20.0,176.0,101.0,Ukraine,Weightlifting
Anna Maria Nordqvist,F,29.0,183.0,75.0,Sweden,Golf
Sascia Kraus,F,23.0,177.0,65.0,Switzerland,Synchronized Swimming
Elena Delle Donne,F,26.0,195.0,86.0,USA,Basketball
Serena Jamika Williams,F,34.0,175.0,70.0,USA,Tennis
Marina Durunda,F,19.0,170.0,51.0,Azerbaijan,Rhythmic Gymnastics
Katarzyna Piocik-Klys,F,30.0,174.0,70.0,Poland,Judo
Bautista Saubidet Birkner,M,20.0,179.0,72.0,Argentina,Sailing
Paul Snow-Hansen,M,25.0,174.0,64.0,New Zealand,Sailing
Marie Eliane Saholinirina,F,34.0,154.0,46.0,Madagascar,Athletics
Hermenegildo Leite,M,16.0,171.0,63.0,Angola,Athletics
Sara Franceschi,F,17.0,178.0,61.0,Italy,Swimming
Mouma Das,F,32.0,149.0,47.0,India,Table Tennis
Ingrid de Oliveira,F,20.0,160.0,58.0,Brazil,Diving
Emilie Hegh Arntzen,F,22.0,183.0,78.0,Norway,Handball
Arthur Abele,M,30.0,184.0,85.0,Germany,Athletics
Evelyn Lee Stevens (-Baker),F,33.0,166.0,55.0,USA,Cycling
Chuang Chih-Yuan,M,35.0,166.0,60.0,Taiwan,Table Tennis
Imne Ouneissa Cherif Sahraoui,F,20.0,165.0,64.0,Algeria,Sailing
"Daryna Viktorivna ""Dar'ia"" Stepaniuk",F,26.0,174.0,62.0,Ukraine,Swimming
Batrice Alice Kamuchanga,F,18.0,,,Democratic Republic of the Congo,Athletics
Chatchai Butdee,M,31.0,166.0,52.0,Thailand,Boxing
Mala de Paula Machado,F,35.0,167.0,67.0,Brazil,Athletics
Ctia Isabel da Silva Azevedo,F,22.0,170.0,50.0,Portugal,Athletics
Olha Anatolivna Holodna,F,24.0,183.0,96.0,Ukraine,Athletics
Reinier Estpinan Gmez,M,33.0,170.0,72.0,Cuba,Shooting
Augustine Pulu,M,26.0,180.0,89.0,New Zealand,Rugby Sevens
Qin Chenlu,M,23.0,175.0,70.0,China,Cycling
Lungile Gongqa,M,37.0,162.0,53.0,South Africa,Athletics
Anastasiya Yurivna Spas,F,22.0,178.0,68.0,Ukraine,Modern Pentathlon
"Samuel ""Sam"" Crouser",M,24.0,198.0,105.0,USA,Athletics
Jin Jong-O,M,36.0,175.0,78.0,South Korea,Shooting
Elke Vanhoof,F,24.0,163.0,60.0,Belgium,Cycling
McQuin Baron,M,20.0,206.0,104.0,USA,Water Polo
Julia Krajewski,F,27.0,168.0,65.0,Germany,Equestrianism
Nick Thompson,M,30.0,179.0,80.0,UK,Sailing
Olivia Alma Charlotta Schough,F,25.0,172.0,60.0,Sweden,Football
Tang Xingqiang,M,20.0,170.0,61.0,China,Athletics
Deon Christopher Lendore,M,23.0,179.0,75.0,Trinidad,Athletics
Sze Hang Yu,F,28.0,168.0,65.0,China,Swimming
Ernesto Andrs Zamora,M,33.0,180.0,63.0,Uruguay,Athletics
Andr Soares,M,32.0,194.0,92.0,Brazil,Handball
Chan Yung-Jan,F,26.0,170.0,60.0,Taiwan,Tennis
Karoline Bjerkeli Grvdal,F,26.0,167.0,52.0,Norway,Athletics
Sreejesh Parattu Raveendran,M,28.0,183.0,79.0,India,Hockey
Rachid Ait Atmane,M,23.0,190.0,76.0,Algeria,Football
Chang Hao,M,25.0,173.0,72.0,Taiwan,Sailing
Rosaria Aiello,F,27.0,172.0,74.0,Italy,Water Polo
Ali Khamis Abbas Ali Khamis,M,21.0,182.0,70.0,Bahrain,Athletics
Matas Rey,M,31.0,178.0,72.0,Argentina,Hockey
Gao Lei,M,24.0,170.0,64.0,China,Trampolining
"Samuel ""Sam"" Ojserkis",M,26.0,173.0,55.0,USA,Rowing
Zheng Saisai,F,22.0,170.0,62.0,China,Tennis
Yuichi Sugita,M,27.0,173.0,66.0,Japan,Tennis
Marcia Theresa Vidiaux Jimnez,F,17.0,143.0,41.0,Cuba,Gymnastics
Nadja Horwitz von Appen,F,20.0,166.0,58.0,Chile,Sailing
Joaquim Rodrguez Oliver,M,37.0,169.0,59.0,Spain,Cycling
Andra Marina Prez Pea,F,26.0,161.0,62.0,Ecuador,Shooting
Josh Junior,M,26.0,189.0,96.0,New Zealand,Sailing
Elin Ida Mattsson-Marko-Varga,F,31.0,170.0,65.0,Sweden,Swimming
Aleksandr Leonidovich Lesun,M,28.0,185.0,74.0,Russia,Modern Pentathlon
ngela Gabriela Tenorio Micolta,F,20.0,166.0,55.0,Ecuador,Athletics
Hong Wei,M,26.0,192.0,86.0,China,Badminton
Zarina Kurbanova,F,21.0,170.0,54.0,Uzbekistan,Rhythmic Gymnastics
Alexis Vuillermoz,M,28.0,173.0,60.0,France,Cycling
Eleftherios Petrounias,M,25.0,164.0,62.0,Greece,Gymnastics
Eloi Imaniraguha,M,21.0,,,Rwanda,Swimming
Vasiliki Millousi,F,32.0,155.0,45.0,Greece,Gymnastics
Silviya Georgieva Danekova,F,33.0,165.0,50.0,Bulgaria,Athletics
Emilee Cherry,F,23.0,168.0,70.0,Australia,Rugby Sevens
"Joseph Howarth ""Joe"" Ingles",M,28.0,203.0,91.0,Australia,Basketball
Lee Kiefer,F,22.0,163.0,49.0,USA,Fencing
Seren Bundy-Davies,F,21.0,175.0,63.0,UK,Athletics
Carina Horn,F,27.0,168.0,62.0,South Africa,Athletics
Pau Quemada Cadafalch,M,32.0,173.0,69.0,Spain,Hockey
Vadim Vladimirovich Anokhin,M,24.0,192.0,91.0,Russia,Fencing
Rebecca Heyliger,F,23.0,161.0,54.0,Bermuda,Swimming
Felix Aubck,M,19.0,198.0,85.0,Austria,Swimming
Bode Abiodun,M,35.0,170.0,68.0,Nigeria,Table Tennis
Kamran ahsuvarl,M,23.0,180.0,75.0,Azerbaijan,Boxing
Bruno Oscar Schmidt,M,29.0,185.0,87.0,Brazil,Beach Volleyball
Filip Wypych,M,25.0,183.0,75.0,Poland,Swimming
Mika Kurihara,F,27.0,176.0,68.0,Japan,Basketball
Robert Tvorogal,M,21.0,168.0,87.0,Lithuania,Gymnastics
Amel Bouderra,F,27.0,163.0,,France,Basketball
Matthias Schmid,M,35.0,175.0,66.0,Austria,Sailing
Chan Chun Hing,M,35.0,170.0,70.0,China,Cycling
Pablo Dominic Brgger,M,23.0,169.0,64.0,Switzerland,Gymnastics
Kazuya Shiojiri,M,19.0,170.0,53.0,Japan,Athletics
Daisy Kaitano,F,22.0,171.0,61.0,Zimbabwe,Football
Ersin Tacir,M,31.0,170.0,71.0,Turkey,Athletics
Denika Kassim,F,18.0,157.0,45.0,Comoros,Athletics
Bendegz Pl Ptervri-Molnr,M,23.0,190.0,95.0,Hungary,Rowing
Marcos Nicols Dela,M,24.0,209.0,105.0,Argentina,Basketball
Manuel Brunet,M,30.0,179.0,79.0,Argentina,Hockey
Kamongwa Salukombo Makorobondo,M,27.0,,,Democratic Republic of the Congo,Athletics
Hanna Oleksandrivna Plotitsyna,F,29.0,182.0,73.0,Ukraine,Athletics
Luciana Yael Salvad,F,26.0,169.0,65.0,Argentina,Handball
Chun Ting Wong,M,24.0,170.0,70.0,China,Table Tennis
Nada Daabousov,F,19.0,165.0,52.0,Slovakia,Synchronized Swimming
Maciej Sarnacki,M,29.0,200.0,130.0,Poland,Judo
Francesco Marrai,M,23.0,187.0,82.0,Italy,Sailing
Gintar Volungeviit-Scheidt,F,33.0,172.0,63.0,Lithuania,Sailing
Shara Nerissa Proctor,F,27.0,173.0,60.0,UK,Athletics
Nur Shazrin Mohamad Latif,F,18.0,167.0,63.0,Malaysia,Sailing
Karolina Koeczek,F,23.0,168.0,53.0,Poland,Athletics
Ievgenia Tetelbaum,F,25.0,158.0,49.0,Israel,Synchronized Swimming
Tagir Kamalutdinovich Khaybulayev,M,32.0,182.0,100.0,Russia,Judo
Benjmin Grtz,M,20.0,183.0,75.0,Hungary,Swimming
Robin Valentin Seidl,M,26.0,190.0,78.0,Austria,Beach Volleyball
Rana Nakano,F,18.0,157.0,43.0,Japan,Trampolining
Philipp Max,M,22.0,177.0,76.0,Germany,Football
Jakob Diemer Fuglsang,M,31.0,183.0,69.0,Denmark,Cycling
Jorge Joo Zarif,M,23.0,191.0,97.0,Brazil,Sailing
Joeri Jordi Verlinden,M,28.0,181.0,75.0,Netherlands,Swimming
Laura Glauser,F,22.0,178.0,65.0,France,Handball
Douglas John Erasmus,M,26.0,182.0,78.0,South Africa,Swimming
Lisa Brennauer,F,28.0,168.0,63.0,Germany,Cycling
Natan Wgrzycki-Szymczyk,M,21.0,202.0,92.0,Poland,Rowing
"Michelle ""Shelly"" Jenneke",F,23.0,172.0,67.0,Australia,Athletics
Ali Adnan Kadhim Nassir Al-Tameemi,M,22.0,185.0,71.0,Iraq,Football
Lara Hoffmann,F,25.0,173.0,68.0,Germany,Athletics
Christina Hering,F,21.0,185.0,63.0,Germany,Athletics
Kelley Anne Hurley,F,28.0,175.0,75.0,USA,Fencing
Orgodolyn itmen,M,27.0,175.0,82.0,Mongolia,Wrestling
Wang Xiaoli,F,34.0,169.0,70.0,China,Sailing
Elizabeth Lyon Beisel,F,23.0,168.0,68.0,USA,Swimming
Fabiana Marcelino Claudino,F,31.0,193.0,76.0,Brazil,Volleyball
Ryota Yamagata,M,24.0,177.0,70.0,Japan,Athletics
Ida Alstad,F,31.0,172.0,60.0,Norway,Handball
Jennifer Dugwen Chieng,F,30.0,161.0,60.0,Micronesia,Boxing
Ana imi,F,26.0,178.0,58.0,Croatia,Athletics
Mats Stefan Nilsson,M,25.0,186.0,89.0,Sweden,Shooting
Yekaterina Vladimirovna Dyachenko,F,28.0,167.0,53.0,Russia,Fencing
Ahmed Abdel Naeim,M,31.0,197.0,87.0,Egypt,Volleyball
Andrew Graham Peebles,M,27.0,191.0,87.0,Zimbabwe,Rowing
Long Yuan Miguel Gutirrez Feng,M,21.0,190.0,85.0,Mexico,Swimming
Masashi Ebinuma,M,26.0,170.0,66.0,Japan,Judo
George Christopher Nash,M,26.0,195.0,96.0,UK,Rowing
Ryan Archibald,M,35.0,186.0,78.0,New Zealand,Hockey
Paula Reto,F,26.0,165.0,,South Africa,Golf
Naomi Frances van As,F,33.0,179.0,63.0,Netherlands,Hockey
Nadia Centoni,F,35.0,182.0,63.0,Italy,Volleyball
Lus Enrique Lemus Dvila,M,24.0,173.0,61.0,Mexico,Cycling
Daria Pogorzelec,F,26.0,172.0,78.0,Poland,Judo
Emilce Sosa,F,28.0,177.0,72.0,Argentina,Volleyball
Gao Xinglong,M,22.0,182.0,63.0,China,Athletics
Pierre-Ambroise Bosse,M,24.0,185.0,68.0,France,Athletics
Hannibal David Gaskin,M,18.0,173.0,68.0,Guyana,Swimming
Kvin Mayer,M,24.0,186.0,77.0,France,Athletics
Servet Tazegl,M,27.0,180.0,68.0,Turkey,Taekwondo
Duygu Aynac,F,20.0,170.0,69.0,Turkey,Weightlifting
Mohamed Ayoub Al-Ferjani,M,30.0,185.0,88.0,Tunisia,Fencing
Nadezhda Sergeyevna Glyzina-Fedotova,F,28.0,175.0,68.0,Russia,Water Polo
Chen Chien-An,M,25.0,170.0,72.0,Taiwan,Table Tennis
Soufiane El-Bakkali,M,20.0,188.0,62.0,Morocco,Athletics
Charles Yosei Muneria,M,20.0,167.0,55.0,Kenya,Athletics
Abdelati El-Guesse,M,23.0,187.0,64.0,Morocco,Athletics
Jo Qesem Ayela Aleh,F,30.0,171.0,58.0,New Zealand,Sailing
Goran Stojanovi,M,39.0,191.0,90.0,Qatar,Handball
Piotr Kantor,M,24.0,200.0,90.0,Poland,Beach Volleyball
brahim Blkba,M,25.0,187.0,97.0,Turkey,Wrestling
Robert Gardos,M,37.0,178.0,72.0,Austria,Table Tennis
Yann Candele,M,45.0,173.0,82.0,Canada,Equestrianism
Lena Schneborn,F,30.0,179.0,60.0,Germany,Modern Pentathlon
"Galyna Volodymyrivna ""Galia"" Dvorak Khasanova",F,28.0,169.0,58.0,Spain,Table Tennis
Simplice Fotsala,M,27.0,154.0,49.0,Cameroon,Boxing
Lies Rustenburg,F,26.0,183.0,74.0,Netherlands,Rowing
Yuliya Vladimirovna Arkhipova-Andreyeva,F,32.0,168.0,51.0,Kyrgyzstan,Athletics
"Jennifer ""Jenny"" Dahlgren Fitzner",F,32.0,180.0,110.0,Argentina,Athletics
Hussein Iashaish,M,20.0,180.0,95.0,Jordan,Boxing
Shawn Erbelau Dingilius-Wallace,M,22.0,184.0,93.0,Palau,Swimming
Emmanuel Matadi,M,25.0,,,Liberia,Athletics
Saad Adbul-Amir Luaibi Al-Zirhawi,M,24.0,180.0,75.0,Iraq,Football
Shaunae Miller (-Uibo),F,22.0,185.0,69.0,Bahamas,Athletics
Tiago Henrique de Oliveira Camilo,M,34.0,180.0,90.0,Brazil,Judo
Samuel Albrecht,M,34.0,180.0,71.0,Brazil,Sailing
Hac liyev,M,25.0,168.0,65.0,Azerbaijan,Wrestling
Laura de Witte,F,20.0,173.0,61.0,Netherlands,Athletics
Diana Martn Gimnez,F,35.0,163.0,50.0,Spain,Athletics
Andreas Beyer Maxs,M,22.0,190.0,80.0,Denmark,Football
Ali Hashemi,M,24.0,178.0,93.0,Iran,Weightlifting
Helena Scutt,F,24.0,170.0,66.0,USA,Sailing
Phyllis Chanez Francis,F,24.0,180.0,72.0,USA,Athletics
ukasz Krawczuk,M,27.0,184.0,75.0,Poland,Athletics
Lenchu Kunzang,F,24.0,165.0,59.0,Bhutan,Shooting
Melek Hu,F,27.0,165.0,53.0,Turkey,Table Tennis
Juliane Elander Rasmussen,F,37.0,173.0,61.0,Denmark,Rowing
Serhiy Anatoliyovych Frolov,M,24.0,190.0,84.0,Ukraine,Swimming
Anton rskov Ipsen,M,21.0,186.0,74.0,Denmark,Swimming
Li Dan,F,27.0,155.0,47.0,China,Trampolining
Georgina Oliva Isern,F,26.0,160.0,53.0,Spain,Hockey
Mohammed Rageh,M,18.0,169.0,64.0,Yemen,Athletics
Liubomyr Arturovych Lemeshko,M,24.0,186.0,86.0,Ukraine,Swimming
Lieke Wevers,F,24.0,167.0,54.0,Netherlands,Gymnastics
Lee Hui-Sol,F,26.0,174.0,118.0,South Korea,Weightlifting
De Jiaojiao,F,26.0,167.0,57.0,China,Hockey
Zhang Rui,F,27.0,172.0,62.0,China,Football
Mavis Chirandu,F,21.0,157.0,53.0,Zimbabwe,Football
Larisa Ceri,F,25.0,176.0,110.0,Bosnia and Herzegovina,Judo
Maya April Moore,F,27.0,183.0,79.0,USA,Basketball
Sarah Lindsey Pavan,F,29.0,196.0,73.0,Canada,Beach Volleyball
Elyane Eullia Alfama Duarte Freire de Andrade Boal,F,18.0,170.0,58.0,Cape Verde,Rhythmic Gymnastics
Tsai Ming-Yen,M,20.0,167.0,63.0,Taiwan,Judo
Devohn Noronha Teixeira,M,27.0,165.0,61.0,Canada,Hockey
Joo Paulo Garcia Vieira,M,40.0,175.0,59.0,Portugal,Athletics
Shota Hazui,M,29.0,177.0,77.0,Japan,Water Polo
Raven Saunders,F,20.0,165.0,109.0,USA,Athletics
Ana Veronica Rodean,F,32.0,170.0,55.0,Romania,Athletics
Joo Bevilaqua de Lucca,M,26.0,193.0,96.0,Brazil,Swimming
Andriy Andriyovych Hovorov,M,24.0,190.0,89.0,Ukraine,Swimming
Jonatn Dniel Hajdu,M,20.0,188.0,82.0,Hungary,Canoeing
Michael James P. Hoare,M,30.0,176.0,77.0,UK,Hockey
Iryna Mykhailivna Dekha,F,20.0,174.0,86.0,Ukraine,Weightlifting
Jeremy Monnier,M,27.0,175.0,65.0,France,Shooting
Yevgeniya Serhivna Nimchenko,F,23.0,180.0,68.0,Ukraine,Rowing
Vatemo Ravouvou,M,26.0,171.0,81.0,Fiji,Rugby Sevens
Martin Iosefo,M,26.0,187.0,95.0,USA,Rugby Sevens
Edgar Jess Contreras Triana,M,24.0,178.0,67.0,Venezuela,Taekwondo
Zhu Weiwei,F,26.0,180.0,70.0,China,Rowing
Rafael Freire Luz,M,24.0,188.0,85.0,Brazil,Basketball
Luciano de Cecco,M,28.0,191.0,98.0,Argentina,Volleyball
Jordan Chipangama,M,27.0,173.0,53.0,Zambia,Athletics
Lisa Roman,F,26.0,178.0,76.0,Canada,Rowing
Shanice Craft,F,23.0,185.0,93.0,Germany,Athletics
Beatriz Zaneratto Joo,F,22.0,176.0,69.0,Brazil,Football
Carla Rebecchi,F,31.0,163.0,55.0,Argentina,Hockey
Jordan Jules Julien Marce Pothain,M,21.0,187.0,74.0,France,Swimming
Chen Aisen,M,20.0,168.0,60.0,China,Diving
Julia Stavickaja,F,18.0,167.0,48.0,Germany,Rhythmic Gymnastics
Brbara Seixas de Freitas,F,29.0,178.0,67.0,Brazil,Beach Volleyball
Francelina Cabral,F,31.0,165.0,,Timor-Leste,Cycling
